ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioCue, Time, MazeLocation, Gender, VideoGame
2, D, Ego, 4, 1, Forward, 0, 0, 3/18/2020 9:35:07 PM, (1 : 1)
2, D, Ego, 4, 1, Forward, 0, 0, 3/18/2020 9:35:07 PM, (3 : 1)
2, D, Ego, 4, 1, Forward, 0, 5, 3/18/2020 9:35:08 PM, (5 : 1)
2, D, Ego, 4, 1, Forward, 0, 5, 3/18/2020 9:35:08 PM, (7 : 1)
2, D, Ego, 4, 1, Rotate Right, 0, 5, 3/18/2020 9:35:09 PM, (7 : 1)
2, D, Ego, 4, 1, Forward, 0, 0, 3/18/2020 9:35:11 PM, (1 : 1)
2, D, Ego, 4, 1, Forward, 0, 0, 3/18/2020 9:35:11 PM, (3 : 1)
2, D, Ego, 4, 1, Forward, 0, 0, 3/18/2020 9:35:12 PM, (5 : 1)
2, D, Ego, 4, 1, Forward, 0, 0, 3/18/2020 9:35:12 PM, (7 : 1)
2, D, Ego, 4, 1, Rotate Right, 0, 0, 3/18/2020 9:35:12 PM, (7 : 1)
2, D, Ego, 4, 2, Forward, 0, 0, 3/18/2020 9:35:15 PM, (1 : 1)
2, D, Ego, 4, 2, Forward, 0, 0, 3/18/2020 9:35:15 PM, (3 : 1)
2, D, Ego, 4, 2, Forward, 0, 4, 3/18/2020 9:35:16 PM, (5 : 1)
2, D, Ego, 4, 2, Forward, 0, 4, 3/18/2020 9:35:16 PM, (7 : 1)
2, D, Ego, 4, 2, Rotate Right, 0, 4, 3/18/2020 9:35:17 PM, (7 : 1)
